Particle num,x,y,vx,vy,ay,ep,ek,cellRow,cellCol
66,695.801147,279.374329,17.044859,20.739988,-9.800000,0.000000,0.000000,1,4
67,683.463440,382.005432,15.979463,28.337736,-9.800000,0.000000,0.000000,2,4
68,369.498383,772.350952,17.629950,16.264923,-9.800000,0.000000,0.000000,4,2
69,730.256714,248.697540,2.896813,17.577684,-9.800000,0.000000,0.000000,1,4
70,22.932873,591.199646,27.258408,28.878946,-9.800000,0.000000,0.000000,3,0
71,780.258850,616.352844,29.638763,0.411772,-9.800000,0.000000,0.000000,3,4
72,43.200859,92.330040,16.861584,26.520536,-9.800000,0.000000,0.000000,0,0
73,504.839935,777.246155,11.014539,2.171583,-9.800000,0.000000,0.000000,4,3
74,488.577515,701.488892,9.889543,25.736006,-9.800000,0.000000,0.000000,4,3
75,681.937012,10.444583,7.684956,12.526359,-9.800000,0.000000,0.000000,0,4
76,462.289185,742.796204,18.276491,15.838623,-9.800000,0.000000,0.000000,4,2
77,23.250540,289.832611,8.736290,15.180695,-9.800000,0.000000,0.000000,1,0
78,135.470016,543.519165,29.848700,28.268192,-9.800000,0.000000,0.000000,3,0
79,533.837769,235.565430,28.434343,16.986437,-9.800000,0.000000,0.000000,1,3
80,597.116699,20.092661,9.775586,28.297325,-9.800000,0.000000,0.000000,0,3
81,60.810661,11.641443,22.323961,11.810925,-9.800000,0.000000,0.000000,0,0
82,457.706757,124.800255,9.128085,13.835279,-9.800000,0.000000,0.000000,0,2
83,262.991058,547.376953,25.172531,18.774069,-9.800000,0.000000,0.000000,3,1
84,513.536377,251.477829,29.617762,10.494995,-9.800000,0.000000,0.000000,1,3
85,47.644405,368.502716,12.469782,25.857136,-9.800000,0.000000,0.000000,2,0
86,653.051208,280.377533,29.783752,20.363209,-9.800000,0.000000,0.000000,1,4
87,431.919495,394.083771,10.982151,10.843161,-9.800000,0.000000,0.000000,2,2
88,628.741638,532.912903,19.777706,14.261990,-9.800000,0.000000,0.000000,3,3
89,212.114120,604.909180,16.600555,7.828843,-9.800000,0.000000,0.000000,3,1
90,248.224854,606.685913,21.543278,27.901711,-9.800000,0.000000,0.000000,3,1
91,388.802826,64.414467,9.314039,19.513241,-9.800000,0.000000,0.000000,0,2
92,735.319397,589.414185,2.095276,9.693480,-9.800000,0.000000,0.000000,3,4
93,611.396240,789.558655,10.178137,26.965260,-9.800000,0.000000,0.000000,4,3
94,685.197205,201.522232,27.463505,28.474693,-9.800000,0.000000,0.000000,1,4
95,32.307362,467.887421,26.177822,0.457784,-9.800000,0.000000,0.000000,2,0
96,513.341492,256.958588,27.524246,25.739342,-9.800000,0.000000,0.000000,1,3
97,394.608978,158.444382,9.175897,25.112686,-9.800000,0.000000,0.000000,0,2
98,97.066597,491.404510,11.280495,3.011905,-9.800000,0.000000,0.000000,3,0
99,624.364380,110.778992,24.282894,24.477219,-9.800000,0.000000,0.000000,0,3
100,44.140648,568.078125,27.446514,6.611723,-9.800000,0.000000,0.000000,3,0
1,481.303192,461.339264,7.692969,0.784910,-9.800000,0.000000,0.000000,2,3
2,227.915314,275.446014,22.569069,19.131859,-9.800000,0.000000,0.000000,1,1
3,645.105408,189.928391,21.569263,8.894854,-9.800000,0.000000,0.000000,1,4
4,386.223633,757.135315,25.396225,9.167635,-9.800000,0.000000,0.000000,4,2
5,194.245560,21.114317,16.455929,10.150126,-9.800000,0.000000,0.000000,0,1
6,591.898560,584.554504,5.123831,9.456033,-9.800000,0.000000,0.000000,3,3
7,696.813477,468.978729,5.911376,23.375250,-9.800000,0.000000,0.000000,2,4
8,584.098816,763.887756,13.369925,14.783501,-9.800000,0.000000,0.000000,4,3
9,465.445496,700.344055,8.296652,8.106653,-9.800000,0.000000,0.000000,4,2
10,612.118286,429.986725,2.375705,-19.566002,-9.800000,0.000000,0.000000,2,3
11,47.748871,27.267698,2.473782,-0.147805,-9.800000,0.000000,0.000000,0,0
12,601.072632,523.238159,17.900354,22.076679,-9.800000,0.000000,0.000000,3,3
13,584.446411,406.729370,27.319445,26.322250,-9.800000,0.000000,0.000000,2,3
14,487.559967,225.362869,3.750965,10.833315,-9.800000,0.000000,0.000000,1,3
15,622.747192,430.851898,9.117619,-0.978000,-9.800000,0.000000,0.000000,2,3
16,421.706787,256.874329,21.280546,19.972223,-9.800000,0.000000,0.000000,1,2
17,505.778015,12.066540,13.643383,16.475897,-9.800000,0.000000,0.000000,0,3
18,533.392944,352.568024,20.365473,7.632366,-9.800000,0.000000,0.000000,2,3
19,13.197004,252.406357,24.448080,15.842936,-9.800000,0.000000,0.000000,1,0
20,401.338776,531.424988,26.686630,26.707445,-9.800000,0.000000,0.000000,3,2
21,415.197968,609.342529,15.112594,3.856284,-9.800000,0.000000,0.000000,3,2
22,729.878784,404.575012,24.658594,7.706176,-9.800000,0.000000,0.000000,2,4
23,82.550797,450.155945,21.296114,7.748101,-9.800000,0.000000,0.000000,2,0
24,742.012878,449.812042,18.725588,19.263708,-9.800000,0.000000,0.000000,2,4
25,102.355423,231.528015,13.234764,11.002604,-9.800000,0.000000,0.000000,1,0
26,504.428223,606.691040,4.119312,2.960710,-9.800000,0.000000,0.000000,3,3
27,691.549561,704.556763,1.119934,19.121304,-9.800000,0.000000,0.000000,4,4
28,191.991882,249.582718,9.067613,16.176075,-9.800000,0.000000,0.000000,1,1
29,298.491241,562.862610,16.996862,11.856652,-9.800000,0.000000,0.000000,3,1
30,2.363298,703.833740,5.130565,25.342045,-9.800000,0.000000,0.000000,4,0
31,333.099457,11.296484,18.233324,16.879084,-9.800000,0.000000,0.000000,0,2
32,185.027390,503.482483,23.967037,-0.755466,-9.800000,0.000000,0.000000,3,1
33,708.381836,708.258362,7.144618,4.361290,-9.800000,0.000000,0.000000,4,4
34,678.174011,747.533386,8.558654,6.516237,-9.800000,0.000000,0.000000,4,4
35,319.554993,361.672485,2.964767,4.419956,-9.800000,0.000000,0.000000,2,1
36,485.991394,697.829712,14.688220,25.928898,-9.800000,0.000000,0.000000,4,3
37,192.379715,93.351624,19.847740,-0.899143,-9.800000,0.000000,0.000000,0,1
38,106.007866,583.331787,10.381907,0.681523,-9.800000,0.000000,0.000000,3,0
39,171.982498,219.338043,4.158546,10.895761,-9.800000,0.000000,0.000000,1,1
40,685.072388,598.050049,13.016006,13.105294,-9.800000,0.000000,0.000000,3,4
41,586.782104,142.071869,1.938629,3.859731,-9.800000,0.000000,0.000000,0,3
42,57.415665,482.573364,18.268068,12.414485,-9.800000,0.000000,0.000000,3,0
43,574.732422,775.315125,5.002633,17.857067,-9.800000,0.000000,0.000000,4,3
44,515.008545,223.811020,4.652938,8.601841,-9.800000,0.000000,0.000000,1,3
45,43.600410,144.109863,18.688051,8.536759,-9.800000,0.000000,0.000000,0,0
46,413.251862,118.504410,12.282872,-0.126615,-9.800000,0.000000,0.000000,0,2
47,564.398987,253.603180,4.704701,14.787586,-9.800000,0.000000,0.000000,1,3
48,364.662323,452.160919,10.559901,3.597070,-9.800000,0.000000,0.000000,2,2
49,267.576202,281.871704,22.979618,1.499026,-9.800000,0.000000,0.000000,1,1
50,150.220505,718.257202,14.941293,8.269948,-9.800000,0.000000,0.000000,4,0
51,686.068665,199.438492,2.572583,22.939167,-9.800000,0.000000,0.000000,1,4
52,721.514954,587.564392,23.501650,24.635715,-9.800000,0.000000,0.000000,3,4
53,454.547699,661.441345,22.605106,7.419579,-9.800000,0.000000,0.000000,4,2
54,760.858887,269.592743,26.447559,1.222519,-9.800000,0.000000,0.000000,1,4
55,201.462097,558.793396,4.640261,-0.626179,-9.800000,0.000000,0.000000,3,1
56,391.649841,736.475464,10.932865,18.632750,-9.800000,0.000000,0.000000,4,2
57,68.686218,340.304169,18.911566,7.917069,-9.800000,0.000000,0.000000,2,0
58,183.359100,490.844421,26.756788,3.151929,-9.800000,0.000000,0.000000,3,1
59,756.658630,657.843689,21.586609,1.418696,-9.800000,0.000000,0.000000,4,4
60,785.844421,429.159454,20.222685,16.687817,-9.800000,0.000000,0.000000,2,4
61,325.213959,640.091858,19.748074,0.416350,-9.800000,0.000000,0.000000,4,2
62,776.775635,387.195038,22.479841,21.848545,-9.800000,0.000000,0.000000,2,4
63,366.603607,599.981445,15.472207,1.538641,-9.800000,0.000000,0.000000,3,2
64,599.603699,401.348755,9.528022,27.916018,-9.800000,0.000000,0.000000,2,3
65,205.267014,300.494019,5.325776,15.767752,-9.800000,0.000000,0.000000,1,1
66,697.505859,281.394440,17.044859,19.759993,-9.800000,0.000000,0.000000,1,4
67,685.061340,384.785309,15.979463,27.357740,-9.800000,0.000000,0.000000,2,4
68,371.261383,773.923584,17.629950,15.284927,-9.800000,0.000000,0.000000,4,2
69,730.546631,250.401398,2.896813,16.597689,-9.800000,0.000000,0.000000,1,4
70,25.658722,594.033508,27.258408,27.898951,-9.800000,0.000000,0.000000,3,0
71,783.222717,616.340027,29.638763,-0.568228,-9.800000,0.000000,0.000000,3,4
72,44.887032,94.928192,16.861584,25.540541,-9.800000,0.000000,0.000000,0,0
73,505.941315,777.409424,11.014539,1.191582,-9.800000,0.000000,0.000000,4,3
74,488.577515,704.008484,9.889543,24.756010,-9.800000,0.000000,0.000000,4,3
75,682.705444,11.643319,7.684956,11.546363,-9.800000,0.000000,0.000000,0,4
76,464.116882,744.326233,18.276491,14.858627,-9.800000,0.000000,0.000000,4,2
77,24.124163,291.296783,8.736290,14.200699,-9.800000,0.000000,0.000000,1,0
78,138.454941,546.291992,29.848700,27.288197,-9.800000,0.000000,0.000000,3,0
79,536.681396,237.210175,28.434343,16.006441,-9.800000,0.000000,0.000000,1,3
80,598.094482,22.868492,9.775586,27.317329,-9.800000,0.000000,0.000000,0,3
81,63.043060,12.768637,22.323961,10.830930,-9.800000,0.000000,0.000000,0,0
82,458.619537,126.129883,9.128085,12.855284,-9.800000,0.000000,0.000000,0,2
83,265.508453,549.200500,25.172531,17.794073,-9.800000,0.000000,0.000000,3,1
84,513.536377,252.473434,29.617762,9.514999,-9.800000,0.000000,0.000000,1,3
85,48.891392,371.034546,12.469782,24.877140,-9.800000,0.000000,0.000000,2,0
86,656.029724,282.359955,29.783752,19.383213,-9.800000,0.000000,0.000000,1,4
87,433.017822,395.114197,10.982151,9.863165,-9.800000,0.000000,0.000000,2,2
88,630.719177,534.285156,19.777706,13.281994,-9.800000,0.000000,0.000000,3,3
89,213.774124,605.638123,16.600555,6.848843,-9.800000,0.000000,0.000000,3,1
90,250.379242,609.422119,21.543278,26.921715,-9.800000,0.000000,0.000000,3,1
91,389.734222,66.311890,9.314039,18.533245,-9.800000,0.000000,0.000000,0,2
92,735.528748,590.329712,2.095276,8.713484,-9.800000,0.000000,0.000000,3,4
93,612.414307,792.201355,10.178137,25.985264,-9.800000,0.000000,0.000000,4,3
94,685.197205,204.315811,27.463505,27.494698,-9.800000,0.000000,0.000000,1,4
95,34.925159,467.879303,26.177822,-0.522216,-9.800000,0.000000,0.000000,2,0
96,513.341492,259.478607,27.524246,24.759346,-9.800000,0.000000,0.000000,1,3
97,395.526642,160.901764,9.175897,24.132690,-9.800000,0.000000,0.000000,1,2
98,98.194679,491.651794,11.280495,2.031904,-9.800000,0.000000,0.000000,3,0
99,626.792969,113.172813,24.282894,23.497223,-9.800000,0.000000,0.000000,0,3
100,46.885284,568.685425,27.446514,5.631723,-9.800000,0.000000,0.000000,3,0
1,482.072540,461.363861,7.692969,-0.195090,-9.800000,0.000000,0.000000,2,3
2,230.172241,277.305298,22.569069,18.151863,-9.800000,0.000000,0.000000,1,1
3,647.262390,190.763977,21.569263,7.914857,-9.800000,0.000000,0.000000,1,4
4,388.763306,757.998291,25.396225,8.187639,-9.800000,0.000000,0.000000,4,2
5,195.891220,22.075428,16.455929,9.170130,-9.800000,0.000000,0.000000,0,1
6,592.410645,585.446228,5.123831,8.476037,-9.800000,0.000000,0.000000,3,3
7,697.404907,471.262329,5.911376,22.395254,-9.800000,0.000000,0.000000,2,4
8,585.436096,765.312317,13.369925,13.803505,-9.800000,0.000000,0.000000,4,3
9,466.275269,701.100891,8.296652,7.126653,-9.800000,0.000000,0.000000,4,2
10,612.355713,427.976227,2.375705,-20.545998,-9.800000,0.000000,0.000000,2,3
11,47.996254,27.199017,2.473782,-1.127805,-9.800000,0.000000,0.000000,0,0
12,602.862793,525.392029,17.900354,21.096684,-9.800000,0.000000,0.000000,3,3
13,587.178345,409.307678,27.319445,25.342255,-9.800000,0.000000,0.000000,2,3
14,487.935028,226.392288,3.750965,9.853319,-9.800000,0.000000,0.000000,1,3
15,623.659058,430.700195,9.117619,-1.958000,-9.800000,0.000000,0.000000,2,3
